LID,Location,Territory,SalesRep,YearMonth,color,Num
100233,Ageless Medical Solutions,FL102,Eliana Dougherty,202501,ACD,
100233,Ageless Medical Solutions,FL102,Eliana Dougherty,202501,Blue,
100233,Ageless Medical Solutions,FL102,Eliana Dougherty,202501,Lav,
100233,Ageless Medical Solutions,FL102,Eliana Dougherty,202501,SST,
100233,Ageless Medical Solutions,FL102,Eliana Dougherty,202502,ACD,
100233,Ageless Medical Solutions,FL102,Eliana Dougherty,202502,Blue,
100233,Ageless Medical Solutions,FL102,Eliana Dougherty,202502,Lav,
100233,Ageless Medical Solutions,FL102,Eliana Dougherty,202502,SST,
100233,Ageless Medical Solutions,FL102,Eliana Dougherty,202503,ACD,0
100233,Ageless Medical Solutions,FL102,Eliana Dougherty,202503,Blue,4
100233,Ageless Medical Solutions,FL102,Eliana Dougherty,202503,Lav,0
100233,Ageless Medical Solutions,FL102,Eliana Dougherty,202503,SST,0
100233,Ageless Medical Solutions,FL102,Eliana Dougherty,202504,ACD,
100233,Ageless Medical Solutions,FL102,Eliana Dougherty,202504,Blue,
100233,Ageless Medical Solutions,FL102,Eliana Dougherty,202504,Lav,
100233,Ageless Medical Solutions,FL102,Eliana Dougherty,202504,SST,
100233,Ageless Medical Solutions,FL102,Eliana Dougherty,202505,ACD,
100233,Ageless Medical Solutions,FL102,Eliana Dougherty,202505,Blue,
100233,Ageless Medical Solutions,FL102,Eliana Dougherty,202505,Lav,
100233,Ageless Medical Solutions,FL102,Eliana Dougherty,202505,SST,
100233,Ageless Medical Solutions,FL102,Eliana Dougherty,202506,ACD,
100233,Ageless Medical Solutions,FL102,Eliana Dougherty,202506,Blue,
100233,Ageless Medical Solutions,FL102,Eliana Dougherty,202506,Lav,
100233,Ageless Medical Solutions,FL102,Eliana Dougherty,202506,SST,
100233,Ageless Medical Solutions,FL102,Eliana Dougherty,202507,ACD,
100233,Ageless Medical Solutions,FL102,Eliana Dougherty,202507,Blue,
100233,Ageless Medical Solutions,FL102,Eliana Dougherty,202507,Lav,
100233,Ageless Medical Solutions,FL102,Eliana Dougherty,202507,SST,
10024052,The Lapidus Clinic,CA101,Michael Martinez,202501,ACD,2
10024052,The Lapidus Clinic,CA101,Michael Martinez,202501,Blue,0
10024052,The Lapidus Clinic,CA101,Michael Martinez,202501,Lav,0
10024052,The Lapidus Clinic,CA101,Michael Martinez,202501,SST,0
10024052,The Lapidus Clinic,CA101,Michael Martinez,202502,ACD,
10024052,The Lapidus Clinic,CA101,Michael Martinez,202502,Blue,
10024052,The Lapidus Clinic,CA101,Michael Martinez,202502,Lav,
10024052,The Lapidus Clinic,CA101,Michael Martinez,202502,SST,
10024052,The Lapidus Clinic,CA101,Michael Martinez,202503,ACD,
10024052,The Lapidus Clinic,CA101,Michael Martinez,202503,Blue,
10024052,The Lapidus Clinic,CA101,Michael Martinez,202503,Lav,
10024052,The Lapidus Clinic,CA101,Michael Martinez,202503,SST,
10024052,The Lapidus Clinic,CA101,Michael Martinez,202504,ACD,
10024052,The Lapidus Clinic,CA101,Michael Martinez,202504,Blue,
10024052,The Lapidus Clinic,CA101,Michael Martinez,202504,Lav,
10024052,The Lapidus Clinic,CA101,Michael Martinez,202504,SST,
10024052,The Lapidus Clinic,CA101,Michael Martinez,202505,ACD,
10024052,The Lapidus Clinic,CA101,Michael Martinez,202505,Blue,
10024052,The Lapidus Clinic,CA101,Michael Martinez,202505,Lav,
10024052,The Lapidus Clinic,CA101,Michael Martinez,202505,SST,
10024052,The Lapidus Clinic,CA101,Michael Martinez,202506,ACD,
10024052,The Lapidus Clinic,CA101,Michael Martinez,202506,Blue,
10024052,The Lapidus Clinic,CA101,Michael Martinez,202506,Lav,
10024052,The Lapidus Clinic,CA101,Michael Martinez,202506,SST,
10024052,The Lapidus Clinic,CA101,Michael Martinez,202507,ACD,
10024052,The Lapidus Clinic,CA101,Michael Martinez,202507,Blue,
10024052,The Lapidus Clinic,CA101,Michael Martinez,202507,Lav,
10024052,The Lapidus Clinic,CA101,Michael Martinez,202507,SST,
100246,AKASHA CENTER FOR INTEGRATIVE MEDICINE INC,CA101,Michael Martinez,202501,ACD,
100246,AKASHA CENTER FOR INTEGRATIVE MEDICINE INC,CA101,Michael Martinez,202501,Blue,
100246,AKASHA CENTER FOR INTEGRATIVE MEDICINE INC,CA101,Michael Martinez,202501,Lav,
100246,AKASHA CENTER FOR INTEGRATIVE MEDICINE INC,CA101,Michael Martinez,202501,SST,
100246,AKASHA CENTER FOR INTEGRATIVE MEDICINE INC,CA101,Michael Martinez,202502,ACD,2
100246,AKASHA CENTER FOR INTEGRATIVE MEDICINE INC,CA101,Michael Martinez,202502,Blue,0
100246,AKASHA CENTER FOR INTEGRATIVE MEDICINE INC,CA101,Michael Martinez,202502,Lav,0
100246,AKASHA CENTER FOR INTEGRATIVE MEDICINE INC,CA101,Michael Martinez,202502,SST,0
100246,AKASHA CENTER FOR INTEGRATIVE MEDICINE INC,CA101,Michael Martinez,202503,ACD,
100246,AKASHA CENTER FOR INTEGRATIVE MEDICINE INC,CA101,Michael Martinez,202503,Blue,
100246,AKASHA CENTER FOR INTEGRATIVE MEDICINE INC,CA101,Michael Martinez,202503,Lav,
100246,AKASHA CENTER FOR INTEGRATIVE MEDICINE INC,CA101,Michael Martinez,202503,SST,
100246,AKASHA CENTER FOR INTEGRATIVE MEDICINE INC,CA101,Michael Martinez,202504,ACD,
100246,AKASHA CENTER FOR INTEGRATIVE MEDICINE INC,CA101,Michael Martinez,202504,Blue,
100246,AKASHA CENTER FOR INTEGRATIVE MEDICINE INC,CA101,Michael Martinez,202504,Lav,
100246,AKASHA CENTER FOR INTEGRATIVE MEDICINE INC,CA101,Michael Martinez,202504,SST,
100246,AKASHA CENTER FOR INTEGRATIVE MEDICINE INC,CA101,Michael Martinez,202505,ACD,
100246,AKASHA CENTER FOR INTEGRATIVE MEDICINE INC,CA101,Michael Martinez,202505,Blue,
100246,AKASHA CENTER FOR INTEGRATIVE MEDICINE INC,CA101,Michael Martinez,202505,Lav,
100246,AKASHA CENTER FOR INTEGRATIVE MEDICINE INC,CA101,Michael Martinez,202505,SST,
100246,AKASHA CENTER FOR INTEGRATIVE MEDICINE INC,CA101,Michael Martinez,202506,ACD,
100246,AKASHA CENTER FOR INTEGRATIVE MEDICINE INC,CA101,Michael Martinez,202506,Blue,
100246,AKASHA CENTER FOR INTEGRATIVE MEDICINE INC,CA101,Michael Martinez,202506,Lav,
100246,AKASHA CENTER FOR INTEGRATIVE MEDICINE INC,CA101,Michael Martinez,202506,SST,
100246,AKASHA CENTER FOR INTEGRATIVE MEDICINE INC,CA101,Michael Martinez,202507,ACD,
100246,AKASHA CENTER FOR INTEGRATIVE MEDICINE INC,CA101,Michael Martinez,202507,Blue,
100246,AKASHA CENTER FOR INTEGRATIVE MEDICINE INC,CA101,Michael Martinez,202507,Lav,
100246,AKASHA CENTER FOR INTEGRATIVE MEDICINE INC,CA101,Michael Martinez,202507,SST,
100298,ALASKA ALTERNATIVE MEDICINE CLINIC,AK101,Michael Martinez,202501,ACD,
100298,ALASKA ALTERNATIVE MEDICINE CLINIC,AK101,Michael Martinez,202501,Blue,
100298,ALASKA ALTERNATIVE MEDICINE CLINIC,AK101,Michael Martinez,202501,Lav,
100298,ALASKA ALTERNATIVE MEDICINE CLINIC,AK101,Michael Martinez,202501,SST,
100298,ALASKA ALTERNATIVE MEDICINE CLINIC,AK101,Michael Martinez,202502,ACD,2
100298,ALASKA ALTERNATIVE MEDICINE CLINIC,AK101,Michael Martinez,202502,Blue,0
100298,ALASKA ALTERNATIVE MEDICINE CLINIC,AK101,Michael Martinez,202502,Lav,0
100298,ALASKA ALTERNATIVE MEDICINE CLINIC,AK101,Michael Martinez,202502,SST,0
100298,ALASKA ALTERNATIVE MEDICINE CLINIC,AK101,Michael Martinez,202503,ACD,6
100298,ALASKA ALTERNATIVE MEDICINE CLINIC,AK101,Michael Martinez,202503,Blue,0
100298,ALASKA ALTERNATIVE MEDICINE CLINIC,AK101,Michael Martinez,202503,Lav,0
100298,ALASKA ALTERNATIVE MEDICINE CLINIC,AK101,Michael Martinez,202503,SST,0
100298,ALASKA ALTERNATIVE MEDICINE CLINIC,AK101,Michael Martinez,202504,ACD,
100298,ALASKA ALTERNATIVE MEDICINE CLINIC,AK101,Michael Martinez,202504,Blue,
100298,ALASKA ALTERNATIVE MEDICINE CLINIC,AK101,Michael Martinez,202504,Lav,
100298,ALASKA ALTERNATIVE MEDICINE CLINIC,AK101,Michael Martinez,202504,SST,
100298,ALASKA ALTERNATIVE MEDICINE CLINIC,AK101,Michael Martinez,202505,ACD,
100298,ALASKA ALTERNATIVE MEDICINE CLINIC,AK101,Michael Martinez,202505,Blue,
100298,ALASKA ALTERNATIVE MEDICINE CLINIC,AK101,Michael Martinez,202505,Lav,
100298,ALASKA ALTERNATIVE MEDICINE CLINIC,AK101,Michael Martinez,202505,SST,
100298,ALASKA ALTERNATIVE MEDICINE CLINIC,AK101,Michael Martinez,202506,ACD,2
100298,ALASKA ALTERNATIVE MEDICINE CLINIC,AK101,Michael Martinez,202506,Blue,0
100298,ALASKA ALTERNATIVE MEDICINE CLINIC,AK101,Michael Martinez,202506,Lav,0
100298,ALASKA ALTERNATIVE MEDICINE CLINIC,AK101,Michael Martinez,202506,SST,0
100298,ALASKA ALTERNATIVE MEDICINE CLINIC,AK101,Michael Martinez,202507,ACD,2
100298,ALASKA ALTERNATIVE MEDICINE CLINIC,AK101,Michael Martinez,202507,Blue,0
100298,ALASKA ALTERNATIVE MEDICINE CLINIC,AK101,Michael Martinez,202507,Lav,0
100298,ALASKA ALTERNATIVE MEDICINE CLINIC,AK101,Michael Martinez,202507,SST,0
100720,MyVita Wellness Institute,TX102,Xavier Sandoval,202501,ACD,
100720,MyVita Wellness Institute,TX102,Xavier Sandoval,202501,Blue,
100720,MyVita Wellness Institute,TX102,Xavier Sandoval,202501,Lav,
100720,MyVita Wellness Institute,TX102,Xavier Sandoval,202501,SST,
100720,MyVita Wellness Institute,TX102,Xavier Sandoval,202502,ACD,
100720,MyVita Wellness Institute,TX102,Xavier Sandoval,202502,Blue,
100720,MyVita Wellness Institute,TX102,Xavier Sandoval,202502,Lav,
100720,MyVita Wellness Institute,TX102,Xavier Sandoval,202502,SST,
100720,MyVita Wellness Institute,TX102,Xavier Sandoval,202503,ACD,2
100720,MyVita Wellness Institute,TX102,Xavier Sandoval,202503,Blue,0
100720,MyVita Wellness Institute,TX102,Xavier Sandoval,202503,Lav,0
100720,MyVita Wellness Institute,TX102,Xavier Sandoval,202503,SST,0
100720,MyVita Wellness Institute,TX102,Xavier Sandoval,202504,ACD,
100720,MyVita Wellness Institute,TX102,Xavier Sandoval,202504,Blue,
100720,MyVita Wellness Institute,TX102,Xavier Sandoval,202504,Lav,
100720,MyVita Wellness Institute,TX102,Xavier Sandoval,202504,SST,
100720,MyVita Wellness Institute,TX102,Xavier Sandoval,202505,ACD,
100720,MyVita Wellness Institute,TX102,Xavier Sandoval,202505,Blue,
100720,MyVita Wellness Institute,TX102,Xavier Sandoval,202505,Lav,
100720,MyVita Wellness Institute,TX102,Xavier Sandoval,202505,SST,
100720,MyVita Wellness Institute,TX102,Xavier Sandoval,202506,ACD,
100720,MyVita Wellness Institute,TX102,Xavier Sandoval,202506,Blue,
100720,MyVita Wellness Institute,TX102,Xavier Sandoval,202506,Lav,
100720,MyVita Wellness Institute,TX102,Xavier Sandoval,202506,SST,
100720,MyVita Wellness Institute,TX102,Xavier Sandoval,202507,ACD,
100720,MyVita Wellness Institute,TX102,Xavier Sandoval,202507,Blue,
100720,MyVita Wellness Institute,TX102,Xavier Sandoval,202507,Lav,
100720,MyVita Wellness Institute,TX102,Xavier Sandoval,202507,SST,
100846,Houston Sports Rehabilitation and Nutrition Center,TX101,Suri Huang,202501,ACD,0
100846,Houston Sports Rehabilitation and Nutrition Center,TX101,Suri Huang,202501,Blue,0
100846,Houston Sports Rehabilitation and Nutrition Center,TX101,Suri Huang,202501,Lav,3
100846,Houston Sports Rehabilitation and Nutrition Center,TX101,Suri Huang,202501,SST,4
100846,Houston Sports Rehabilitation and Nutrition Center,TX101,Suri Huang,202502,ACD,2
100846,Houston Sports Rehabilitation and Nutrition Center,TX101,Suri Huang,202502,Blue,0
100846,Houston Sports Rehabilitation and Nutrition Center,TX101,Suri Huang,202502,Lav,5
100846,Houston Sports Rehabilitation and Nutrition Center,TX101,Suri Huang,202502,SST,6
100846,Houston Sports Rehabilitation and Nutrition Center,TX101,Suri Huang,202503,ACD,0
100846,Houston Sports Rehabilitation and Nutrition Center,TX101,Suri Huang,202503,Blue,0
100846,Houston Sports Rehabilitation and Nutrition Center,TX101,Suri Huang,202503,Lav,13
100846,Houston Sports Rehabilitation and Nutrition Center,TX101,Suri Huang,202503,SST,16
100846,Houston Sports Rehabilitation and Nutrition Center,TX101,Suri Huang,202504,ACD,4
100846,Houston Sports Rehabilitation and Nutrition Center,TX101,Suri Huang,202504,Blue,0
100846,Houston Sports Rehabilitation and Nutrition Center,TX101,Suri Huang,202504,Lav,6
100846,Houston Sports Rehabilitation and Nutrition Center,TX101,Suri Huang,202504,SST,6
100846,Houston Sports Rehabilitation and Nutrition Center,TX101,Suri Huang,202505,ACD,0
100846,Houston Sports Rehabilitation and Nutrition Center,TX101,Suri Huang,202505,Blue,0
100846,Houston Sports Rehabilitation and Nutrition Center,TX101,Suri Huang,202505,Lav,9
100846,Houston Sports Rehabilitation and Nutrition Center,TX101,Suri Huang,202505,SST,14
100846,Houston Sports Rehabilitation and Nutrition Center,TX101,Suri Huang,202506,ACD,0
