LID,Location,Territory,SalesRep,YearMonth,color,Num
100846,Houston Sports Rehabilitation and Nutrition Center,TX101,Suri Huang,202504,ACD,4
100846,Houston Sports Rehabilitation and Nutrition Center,TX101,Suri Huang,202504,Blue,0
100846,Houston Sports Rehabilitation and Nutrition Center,TX101,Suri Huang,202504,Lav,6
100846,Houston Sports Rehabilitation and Nutrition Center,TX101,Suri Huang,202504,SST,6
101246,BETWEEN THE BRIDGES HEALING CNTR LLC,MN101,Suri Huang,202504,ACD,12
101246,BETWEEN THE BRIDGES HEALING CNTR LLC,MN101,Suri Huang,202504,Blue,0
101246,BETWEEN THE BRIDGES HEALING CNTR LLC,MN101,Suri Huang,202504,Lav,0
101246,BETWEEN THE BRIDGES HEALING CNTR LLC,MN101,Suri Huang,202504,SST,6
101303,Biomedica De Referencia Location,MEX501,Jack (Hongjie) Zou,202504,ACD,12
101303,Biomedica De Referencia Location,MEX501,Jack (Hongjie) Zou,202504,Blue,0
101303,Biomedica De Referencia Location,MEX501,Jack (Hongjie) Zou,202504,Lav,0
101303,Biomedica De Referencia Location,MEX501,Jack (Hongjie) Zou,202504,SST,0
101587,"Robert Bruley MD, DC",MN101,Suri Huang,202504,ACD,6
101587,"Robert Bruley MD, DC",MN101,Suri Huang,202504,Blue,0
101587,"Robert Bruley MD, DC",MN101,Suri Huang,202504,Lav,0
101587,"Robert Bruley MD, DC",MN101,Suri Huang,202504,SST,0
101691,Nutriwhite LLC,FL101,Ashley Hernandez,202504,ACD,4
101691,Nutriwhite LLC,FL101,Ashley Hernandez,202504,Blue,0
101691,Nutriwhite LLC,FL101,Ashley Hernandez,202504,Lav,0
101691,Nutriwhite LLC,FL101,Ashley Hernandez,202504,SST,2
102094,Rivers Family Medicine,FL101,Ashley Hernandez,202504,ACD,6
102094,Rivers Family Medicine,FL101,Ashley Hernandez,202504,Blue,0
102094,Rivers Family Medicine,FL101,Ashley Hernandez,202504,Lav,0
102094,Rivers Family Medicine,FL101,Ashley Hernandez,202504,SST,0
102141,Chandra Rathod MD,IL101,Suri Huang,202504,ACD,2
102141,Chandra Rathod MD,IL101,Suri Huang,202504,Blue,0
102141,Chandra Rathod MD,IL101,Suri Huang,202504,Lav,0
102141,Chandra Rathod MD,IL101,Suri Huang,202504,SST,0
102664,Nurturing Optimal Wellness,MO101,Suri Huang,202504,ACD,2
102664,Nurturing Optimal Wellness,MO101,Suri Huang,202504,Blue,0
102664,Nurturing Optimal Wellness,MO101,Suri Huang,202504,Lav,0
102664,Nurturing Optimal Wellness,MO101,Suri Huang,202504,SST,0
102827,Courtney Sinclair MD,GA101,Ashley Hernandez,202504,ACD,2
102827,Courtney Sinclair MD,GA101,Ashley Hernandez,202504,Blue,0
102827,Courtney Sinclair MD,GA101,Ashley Hernandez,202504,Lav,0
102827,Courtney Sinclair MD,GA101,Ashley Hernandez,202504,SST,0
103058,Daniela Dadurian MD,FL101,Ashley Hernandez,202504,ACD,2
103058,Daniela Dadurian MD,FL101,Ashley Hernandez,202504,Blue,0
103058,Daniela Dadurian MD,FL101,Ashley Hernandez,202504,Lav,0
103058,Daniela Dadurian MD,FL101,Ashley Hernandez,202504,SST,0
103918,Edison Medical Nutrition Center,NJ101,Jack (Hongjie) Zou,202504,ACD,2
103918,Edison Medical Nutrition Center,NJ101,Jack (Hongjie) Zou,202504,Blue,0
103918,Edison Medical Nutrition Center,NJ101,Jack (Hongjie) Zou,202504,Lav,0
103918,Edison Medical Nutrition Center,NJ101,Jack (Hongjie) Zou,202504,SST,0
104356,Eva Cwynar MD,CA101,Michael Martinez,202504,ACD,0
104356,Eva Cwynar MD,CA101,Michael Martinez,202504,Blue,2
104356,Eva Cwynar MD,CA101,Michael Martinez,202504,Lav,0
104356,Eva Cwynar MD,CA101,Michael Martinez,202504,SST,0
104682,Integrated Health Clinic,CAN501,Jack (Hongjie) Zou,202504,ACD,4
104682,Integrated Health Clinic,CAN501,Jack (Hongjie) Zou,202504,Blue,0
104682,Integrated Health Clinic,CAN501,Jack (Hongjie) Zou,202504,Lav,0
104682,Integrated Health Clinic,CAN501,Jack (Hongjie) Zou,202504,SST,0
104711,FRANCIS HOLISTIC MEDICAL CENTER PC,MA101,Jack (Hongjie) Zou,202504,ACD,5
104711,FRANCIS HOLISTIC MEDICAL CENTER PC,MA101,Jack (Hongjie) Zou,202504,Blue,0
104711,FRANCIS HOLISTIC MEDICAL CENTER PC,MA101,Jack (Hongjie) Zou,202504,Lav,0
104711,FRANCIS HOLISTIC MEDICAL CENTER PC,MA101,Jack (Hongjie) Zou,202504,SST,0
104931,Integrative Medical Institute of Orange County,CA101,Michael Martinez,202504,ACD,12
104931,Integrative Medical Institute of Orange County,CA101,Michael Martinez,202504,Blue,0
104931,Integrative Medical Institute of Orange County,CA101,Michael Martinez,202504,Lav,0
104931,Integrative Medical Institute of Orange County,CA101,Michael Martinez,202504,SST,0
105198,GLOBAL MEDICINE,CO101,Erica Aijia Zhang,202504,ACD,2
105198,GLOBAL MEDICINE,CO101,Erica Aijia Zhang,202504,Blue,0
105198,GLOBAL MEDICINE,CO101,Erica Aijia Zhang,202504,Lav,0
105198,GLOBAL MEDICINE,CO101,Erica Aijia Zhang,202504,SST,0
105234,Gordon Medical Associates,CA101,Michael Martinez,202504,ACD,4
105234,Gordon Medical Associates,CA101,Michael Martinez,202504,Blue,0
105234,Gordon Medical Associates,CA101,Michael Martinez,202504,Lav,0
