LID,Location,Territory,SalesRep,YearMonth,color,Num
100246,AKASHA CENTER FOR INTEGRATIVE MEDICINE INC,CA101,Michael Martinez,202502,ACD,2
100246,AKASHA CENTER FOR INTEGRATIVE MEDICINE INC,CA101,Michael Martinez,202502,Blue,0
100246,AKASHA CENTER FOR INTEGRATIVE MEDICINE INC,CA101,Michael Martinez,202502,Lav,0
100246,AKASHA CENTER FOR INTEGRATIVE MEDICINE INC,CA101,Michael Martinez,202502,SST,0
100298,ALASKA ALTERNATIVE MEDICINE CLINIC,AK101,Michael Martinez,202502,ACD,2
100298,ALASKA ALTERNATIVE MEDICINE CLINIC,AK101,Michael Martinez,202502,Blue,0
100298,ALASKA ALTERNATIVE MEDICINE CLINIC,AK101,Michael Martinez,202502,Lav,0
100298,ALASKA ALTERNATIVE MEDICINE CLINIC,AK101,Michael Martinez,202502,SST,0
100846,Houston Sports Rehabilitation and Nutrition Center,TX101,Suri Huang,202502,ACD,2
100846,Houston Sports Rehabilitation and Nutrition Center,TX101,Suri Huang,202502,Blue,0
100846,Houston Sports Rehabilitation and Nutrition Center,TX101,Suri Huang,202502,Lav,5
100846,Houston Sports Rehabilitation and Nutrition Center,TX101,Suri Huang,202502,SST,6
101246,BETWEEN THE BRIDGES HEALING CNTR LLC,MN101,Suri Huang,202502,ACD,4
101246,BETWEEN THE BRIDGES HEALING CNTR LLC,MN101,Suri Huang,202502,Blue,0
101246,BETWEEN THE BRIDGES HEALING CNTR LLC,MN101,Suri Huang,202502,Lav,0
101246,BETWEEN THE BRIDGES HEALING CNTR LLC,MN101,Suri Huang,202502,SST,0
101587,"Robert Bruley MD, DC",MN101,Suri Huang,202502,ACD,10
101587,"Robert Bruley MD, DC",MN101,Suri Huang,202502,Blue,0
101587,"Robert Bruley MD, DC",MN101,Suri Huang,202502,Lav,0
101587,"Robert Bruley MD, DC",MN101,Suri Huang,202502,SST,0
101691,Nutriwhite LLC,FL101,Ashley Hernandez,202502,ACD,2
101691,Nutriwhite LLC,FL101,Ashley Hernandez,202502,Blue,0
101691,Nutriwhite LLC,FL101,Ashley Hernandez,202502,Lav,0
101691,Nutriwhite LLC,FL101,Ashley Hernandez,202502,SST,0
102059,Revitalize Functional Medicine,AZ101,Erica Aijia Zhang,202502,ACD,2
102059,Revitalize Functional Medicine,AZ101,Erica Aijia Zhang,202502,Blue,0
102059,Revitalize Functional Medicine,AZ101,Erica Aijia Zhang,202502,Lav,0
102059,Revitalize Functional Medicine,AZ101,Erica Aijia Zhang,202502,SST,0
102094,Rivers Family Medicine,FL101,Ashley Hernandez,202502,ACD,7
102094,Rivers Family Medicine,FL101,Ashley Hernandez,202502,Blue,0
102094,Rivers Family Medicine,FL101,Ashley Hernandez,202502,Lav,0
102094,Rivers Family Medicine,FL101,Ashley Hernandez,202502,SST,0
102141,Chandra Rathod MD,IL101,Suri Huang,202502,ACD,6
102141,Chandra Rathod MD,IL101,Suri Huang,202502,Blue,0
102141,Chandra Rathod MD,IL101,Suri Huang,202502,Lav,0
102141,Chandra Rathod MD,IL101,Suri Huang,202502,SST,0
102747,CONIFER INTEGRATIVE FAMILY MEDICINE,NM101,Erica Aijia Zhang,202502,ACD,2
102747,CONIFER INTEGRATIVE FAMILY MEDICINE,NM101,Erica Aijia Zhang,202502,Blue,0
102747,CONIFER INTEGRATIVE FAMILY MEDICINE,NM101,Erica Aijia Zhang,202502,Lav,0
102747,CONIFER INTEGRATIVE FAMILY MEDICINE,NM101,Erica Aijia Zhang,202502,SST,0
102827,Courtney Sinclair MD,GA101,Ashley Hernandez,202502,ACD,2
102827,Courtney Sinclair MD,GA101,Ashley Hernandez,202502,Blue,0
102827,Courtney Sinclair MD,GA101,Ashley Hernandez,202502,Lav,0
102827,Courtney Sinclair MD,GA101,Ashley Hernandez,202502,SST,0
103058,Daniela Dadurian MD,FL101,Ashley Hernandez,202502,ACD,2
103058,Daniela Dadurian MD,FL101,Ashley Hernandez,202502,Blue,0
103058,Daniela Dadurian MD,FL101,Ashley Hernandez,202502,Lav,0
103058,Daniela Dadurian MD,FL101,Ashley Hernandez,202502,SST,0
103371,DENITO CHIROPRACTIC CLINIC,TX101,Suri Huang,202502,ACD,2
103371,DENITO CHIROPRACTIC CLINIC,TX101,Suri Huang,202502,Blue,0
103371,DENITO CHIROPRACTIC CLINIC,TX101,Suri Huang,202502,Lav,0
103371,DENITO CHIROPRACTIC CLINIC,TX101,Suri Huang,202502,SST,0
104356,Eva Cwynar MD,CA101,Michael Martinez,202502,ACD,6
104356,Eva Cwynar MD,CA101,Michael Martinez,202502,Blue,1
104356,Eva Cwynar MD,CA101,Michael Martinez,202502,Lav,0
104356,Eva Cwynar MD,CA101,Michael Martinez,202502,SST,0
104711,FRANCIS HOLISTIC MEDICAL CENTER PC,MA101,Jack (Hongjie) Zou,202502,ACD,4
104711,FRANCIS HOLISTIC MEDICAL CENTER PC,MA101,Jack (Hongjie) Zou,202502,Blue,0
104711,FRANCIS HOLISTIC MEDICAL CENTER PC,MA101,Jack (Hongjie) Zou,202502,Lav,0
104711,FRANCIS HOLISTIC MEDICAL CENTER PC,MA101,Jack (Hongjie) Zou,202502,SST,0
104871,GALLOWAY CHIROPRACTIC,TX102,Xavier Sandoval,202502,ACD,2
104871,GALLOWAY CHIROPRACTIC,TX102,Xavier Sandoval,202502,Blue,0
104871,GALLOWAY CHIROPRACTIC,TX102,Xavier Sandoval,202502,Lav,0
104871,GALLOWAY CHIROPRACTIC,TX102,Xavier Sandoval,202502,SST,0
104931,Integrative Medical Institute of Orange County,CA101,Michael Martinez,202502,ACD,16
104931,Integrative Medical Institute of Orange County,CA101,Michael Martinez,202502,Blue,0
104931,Integrative Medical Institute of Orange County,CA101,Michael Martinez,202502,Lav,0
104931,Integrative Medical Institute of Orange County,CA101,Michael Martinez,202502,SST,0
105075,Advance Aesthetics Center,CA101,Michael Martinez,202502,ACD,2
105075,Advance Aesthetics Center,CA101,Michael Martinez,202502,Blue,0
105075,Advance Aesthetics Center,CA101,Michael Martinez,202502,Lav,0
105075,Advance Aesthetics Center,CA101,Michael Martinez,202502,SST,0
105198,GLOBAL MEDICINE,CO101,Erica Aijia Zhang,202502,ACD,2
105198,GLOBAL MEDICINE,CO101,Erica Aijia Zhang,202502,Blue,0
105198,GLOBAL MEDICINE,CO101,Erica Aijia Zhang,202502,Lav,0
105198,GLOBAL MEDICINE,CO101,Erica Aijia Zhang,202502,SST,0
105818,HIGH PROFILE,PR501,Jack (Hongjie) Zou,202502,ACD,2
105818,HIGH PROFILE,PR501,Jack (Hongjie) Zou,202502,Blue,0
105818,HIGH PROFILE,PR501,Jack (Hongjie) Zou,202502,Lav,0
105818,HIGH PROFILE,PR501,Jack (Hongjie) Zou,202502,SST,0
105842,HIPPOCRATES HEALTH INSTITUTE,FL101,Ashley Hernandez,202502,ACD,14
105842,HIPPOCRATES HEALTH INSTITUTE,FL101,Ashley Hernandez,202502,Blue,0
105842,HIPPOCRATES HEALTH INSTITUTE,FL101,Ashley Hernandez,202502,Lav,0
105842,HIPPOCRATES HEALTH INSTITUTE,FL101,Ashley Hernandez,202502,SST,0
105874,Holistic Health Clinic - WA,WA102,Gregory Chung,202502,ACD,2
105874,Holistic Health Clinic - WA,WA102,Gregory Chung,202502,Blue,0
105874,Holistic Health Clinic - WA,WA102,Gregory Chung,202502,Lav,1
105874,Holistic Health Clinic - WA,WA102,Gregory Chung,202502,SST,0
105922,Hotze Health  Wellness,TX101,Suri Huang,202502,ACD,4
105922,Hotze Health  Wellness,TX101,Suri Huang,202502,Blue,0
105922,Hotze Health  Wellness,TX101,Suri Huang,202502,Lav,0
105922,Hotze Health  Wellness,TX101,Suri Huang,202502,SST,0
106018,IMASL,TX101,Suri Huang,202502,ACD,6
106018,IMASL,TX101,Suri Huang,202502,Blue,0
106018,IMASL,TX101,Suri Huang,202502,Lav,0
106018,IMASL,TX101,Suri Huang,202502,SST,0
