LID,Location,Territory,SalesRep,YearMonth,color,Num
10024052,The Lapidus Clinic,CA101,Michael Martinez,202501,ACD,2
10024052,The Lapidus Clinic,CA101,Michael Martinez,202501,Blue,0
10024052,The Lapidus Clinic,CA101,Michael Martinez,202501,Lav,0
10024052,The Lapidus Clinic,CA101,Michael Martinez,202501,SST,0
100846,Houston Sports Rehabilitation and Nutrition Center,TX101,Suri Huang,202501,ACD,0
100846,Houston Sports Rehabilitation and Nutrition Center,TX101,Suri Huang,202501,Blue,0
100846,Houston Sports Rehabilitation and Nutrition Center,TX101,Suri Huang,202501,Lav,3
100846,Houston Sports Rehabilitation and Nutrition Center,TX101,Suri Huang,202501,SST,4
101246,BETWEEN THE BRIDGES HEALING CNTR LLC,MN101,Suri Huang,202501,ACD,6
101246,BETWEEN THE BRIDGES HEALING CNTR LLC,MN101,Suri Huang,202501,Blue,0
101246,BETWEEN THE BRIDGES HEALING CNTR LLC,MN101,Suri Huang,202501,Lav,0
101246,BETWEEN THE BRIDGES HEALING CNTR LLC,MN101,Suri Huang,202501,SST,0
101391,"Bonnie S. Friehling, MD",MO102,Xavier Sandoval,202501,ACD,0
101391,"Bonnie S. Friehling, MD",MO102,Xavier Sandoval,202501,Blue,2
101391,"Bonnie S. Friehling, MD",MO102,Xavier Sandoval,202501,Lav,0
101391,"Bonnie S. Friehling, MD",MO102,Xavier Sandoval,202501,SST,0
101587,"Robert Bruley MD, DC",MN101,Suri Huang,202501,ACD,10
101587,"Robert Bruley MD, DC",MN101,Suri Huang,202501,Blue,0
101587,"Robert Bruley MD, DC",MN101,Suri Huang,202501,Lav,0
101587,"Robert Bruley MD, DC",MN101,Suri Huang,202501,SST,0
101894,CAROLINA HEALTHSPAN INSTITUTE,NC101,Ashley Hernandez,202501,ACD,2
101894,CAROLINA HEALTHSPAN INSTITUTE,NC101,Ashley Hernandez,202501,Blue,0
101894,CAROLINA HEALTHSPAN INSTITUTE,NC101,Ashley Hernandez,202501,Lav,0
101894,CAROLINA HEALTHSPAN INSTITUTE,NC101,Ashley Hernandez,202501,SST,0
102055,The Center for Natural and Integrative Medicine  +,FL101,Ashley Hernandez,202501,ACD,4
102055,The Center for Natural and Integrative Medicine  +,FL101,Ashley Hernandez,202501,Blue,0
102055,The Center for Natural and Integrative Medicine  +,FL101,Ashley Hernandez,202501,Lav,0
102055,The Center for Natural and Integrative Medicine  +,FL101,Ashley Hernandez,202501,SST,0
102094,Rivers Family Medicine,FL101,Ashley Hernandez,202501,ACD,4
102094,Rivers Family Medicine,FL101,Ashley Hernandez,202501,Blue,0
102094,Rivers Family Medicine,FL101,Ashley Hernandez,202501,Lav,0
102094,Rivers Family Medicine,FL101,Ashley Hernandez,202501,SST,0
102141,Chandra Rathod MD,IL101,Suri Huang,202501,ACD,4
102141,Chandra Rathod MD,IL101,Suri Huang,202501,Blue,0
102141,Chandra Rathod MD,IL101,Suri Huang,202501,Lav,0
102141,Chandra Rathod MD,IL101,Suri Huang,202501,SST,0
102747,CONIFER INTEGRATIVE FAMILY MEDICINE,NM101,Erica Aijia Zhang,202501,ACD,2
102747,CONIFER INTEGRATIVE FAMILY MEDICINE,NM101,Erica Aijia Zhang,202501,Blue,0
102747,CONIFER INTEGRATIVE FAMILY MEDICINE,NM101,Erica Aijia Zhang,202501,Lav,0
102747,CONIFER INTEGRATIVE FAMILY MEDICINE,NM101,Erica Aijia Zhang,202501,SST,0
102827,Courtney Sinclair MD,GA101,Ashley Hernandez,202501,ACD,4
102827,Courtney Sinclair MD,GA101,Ashley Hernandez,202501,Blue,0
102827,Courtney Sinclair MD,GA101,Ashley Hernandez,202501,Lav,0
102827,Courtney Sinclair MD,GA101,Ashley Hernandez,202501,SST,0
104356,Eva Cwynar MD,CA101,Michael Martinez,202501,ACD,8
104356,Eva Cwynar MD,CA101,Michael Martinez,202501,Blue,0
104356,Eva Cwynar MD,CA101,Michael Martinez,202501,Lav,0
104356,Eva Cwynar MD,CA101,Michael Martinez,202501,SST,0
104682,Integrated Health Clinic,CAN501,Jack (Hongjie) Zou,202501,ACD,4
104682,Integrated Health Clinic,CAN501,Jack (Hongjie) Zou,202501,Blue,0
104682,Integrated Health Clinic,CAN501,Jack (Hongjie) Zou,202501,Lav,0
104682,Integrated Health Clinic,CAN501,Jack (Hongjie) Zou,202501,SST,0
104711,FRANCIS HOLISTIC MEDICAL CENTER PC,MA101,Jack (Hongjie) Zou,202501,ACD,4
104711,FRANCIS HOLISTIC MEDICAL CENTER PC,MA101,Jack (Hongjie) Zou,202501,Blue,0
104711,FRANCIS HOLISTIC MEDICAL CENTER PC,MA101,Jack (Hongjie) Zou,202501,Lav,0
104711,FRANCIS HOLISTIC MEDICAL CENTER PC,MA101,Jack (Hongjie) Zou,202501,SST,0
104871,GALLOWAY CHIROPRACTIC,TX102,Xavier Sandoval,202501,ACD,2
104871,GALLOWAY CHIROPRACTIC,TX102,Xavier Sandoval,202501,Blue,0
104871,GALLOWAY CHIROPRACTIC,TX102,Xavier Sandoval,202501,Lav,0
104871,GALLOWAY CHIROPRACTIC,TX102,Xavier Sandoval,202501,SST,0
104931,Integrative Medical Institute of Orange County,CA101,Michael Martinez,202501,ACD,24
104931,Integrative Medical Institute of Orange County,CA101,Michael Martinez,202501,Blue,0
104931,Integrative Medical Institute of Orange County,CA101,Michael Martinez,202501,Lav,0
104931,Integrative Medical Institute of Orange County,CA101,Michael Martinez,202501,SST,0
105198,GLOBAL MEDICINE,CO101,Erica Aijia Zhang,202501,ACD,4
105198,GLOBAL MEDICINE,CO101,Erica Aijia Zhang,202501,Blue,0
105198,GLOBAL MEDICINE,CO101,Erica Aijia Zhang,202501,Lav,0
105198,GLOBAL MEDICINE,CO101,Erica Aijia Zhang,202501,SST,0
105234,Gordon Medical Associates,CA101,Michael Martinez,202501,ACD,2
105234,Gordon Medical Associates,CA101,Michael Martinez,202501,Blue,0
105234,Gordon Medical Associates,CA101,Michael Martinez,202501,Lav,0
105234,Gordon Medical Associates,CA101,Michael Martinez,202501,SST,0
105818,HIGH PROFILE,PR501,Jack (Hongjie) Zou,202501,ACD,2
105818,HIGH PROFILE,PR501,Jack (Hongjie) Zou,202501,Blue,0
105818,HIGH PROFILE,PR501,Jack (Hongjie) Zou,202501,Lav,0
105818,HIGH PROFILE,PR501,Jack (Hongjie) Zou,202501,SST,0
105842,HIPPOCRATES HEALTH INSTITUTE,FL101,Ashley Hernandez,202501,ACD,8
105842,HIPPOCRATES HEALTH INSTITUTE,FL101,Ashley Hernandez,202501,Blue,0
105842,HIPPOCRATES HEALTH INSTITUTE,FL101,Ashley Hernandez,202501,Lav,0
105842,HIPPOCRATES HEALTH INSTITUTE,FL101,Ashley Hernandez,202501,SST,0
106072,Instutitute of Antiaging Med and Skin Spa,TX101,Suri Huang,202501,ACD,0
106072,Instutitute of Antiaging Med and Skin Spa,TX101,Suri Huang,202501,Blue,0
106072,Instutitute of Antiaging Med and Skin Spa,TX101,Suri Huang,202501,Lav,0
