LID,Location,Territory,SalesRep,YearMonth,color,Num
100298,ALASKA ALTERNATIVE MEDICINE CLINIC,AK101,Michael Martinez,202506,ACD,2
100298,ALASKA ALTERNATIVE MEDICINE CLINIC,AK101,Michael Martinez,202506,Blue,0
100298,ALASKA ALTERNATIVE MEDICINE CLINIC,AK101,Michael Martinez,202506,Lav,0
100298,ALASKA ALTERNATIVE MEDICINE CLINIC,AK101,Michael Martinez,202506,SST,0
100846,Houston Sports Rehabilitation and Nutrition Center,TX101,Suri Huang,202506,ACD,0
100846,Houston Sports Rehabilitation and Nutrition Center,TX101,Suri Huang,202506,Blue,1
100846,Houston Sports Rehabilitation and Nutrition Center,TX101,Suri Huang,202506,Lav,0
100846,Houston Sports Rehabilitation and Nutrition Center,TX101,Suri Huang,202506,SST,1
101246,BETWEEN THE BRIDGES HEALING CNTR LLC,MN101,Suri Huang,202506,ACD,10
101246,BETWEEN THE BRIDGES HEALING CNTR LLC,MN101,Suri Huang,202506,Blue,0
101246,BETWEEN THE BRIDGES HEALING CNTR LLC,MN101,Suri Huang,202506,Lav,0
101246,BETWEEN THE BRIDGES HEALING CNTR LLC,MN101,Suri Huang,202506,SST,0
101587,"Robert Bruley MD, DC",MN101,Suri Huang,202506,ACD,6
101587,"Robert Bruley MD, DC",MN101,Suri Huang,202506,Blue,0
101587,"Robert Bruley MD, DC",MN101,Suri Huang,202506,Lav,0
101587,"Robert Bruley MD, DC",MN101,Suri Huang,202506,SST,0
101691,Nutriwhite LLC,FL101,Ashley Hernandez,202506,ACD,6
101691,Nutriwhite LLC,FL101,Ashley Hernandez,202506,Blue,0
101691,Nutriwhite LLC,FL101,Ashley Hernandez,202506,Lav,0
101691,Nutriwhite LLC,FL101,Ashley Hernandez,202506,SST,0
101894,CAROLINA HEALTHSPAN INSTITUTE,NC101,Ashley Hernandez,202506,ACD,2
101894,CAROLINA HEALTHSPAN INSTITUTE,NC101,Ashley Hernandez,202506,Blue,0
101894,CAROLINA HEALTHSPAN INSTITUTE,NC101,Ashley Hernandez,202506,Lav,0
101894,CAROLINA HEALTHSPAN INSTITUTE,NC101,Ashley Hernandez,202506,SST,0
101981,Cenegenics Las Vegas,NV101,Michael Martinez,202506,ACD,2
101981,Cenegenics Las Vegas,NV101,Michael Martinez,202506,Blue,0
101981,Cenegenics Las Vegas,NV101,Michael Martinez,202506,Lav,0
101981,Cenegenics Las Vegas,NV101,Michael Martinez,202506,SST,0
102055,The Center for Natural and Integrative Medicine  +,FL101,Ashley Hernandez,202506,ACD,4
102055,The Center for Natural and Integrative Medicine  +,FL101,Ashley Hernandez,202506,Blue,0
102055,The Center for Natural and Integrative Medicine  +,FL101,Ashley Hernandez,202506,Lav,0
102055,The Center for Natural and Integrative Medicine  +,FL101,Ashley Hernandez,202506,SST,0
102059,Revitalize Functional Medicine,AZ101,Erica Aijia Zhang,202506,ACD,6
102059,Revitalize Functional Medicine,AZ101,Erica Aijia Zhang,202506,Blue,0
102059,Revitalize Functional Medicine,AZ101,Erica Aijia Zhang,202506,Lav,0
102059,Revitalize Functional Medicine,AZ101,Erica Aijia Zhang,202506,SST,0
102141,Chandra Rathod MD,IL101,Suri Huang,202506,ACD,4
102141,Chandra Rathod MD,IL101,Suri Huang,202506,Blue,0
102141,Chandra Rathod MD,IL101,Suri Huang,202506,Lav,0
102141,Chandra Rathod MD,IL101,Suri Huang,202506,SST,0
102747,CONIFER INTEGRATIVE FAMILY MEDICINE,NM101,Erica Aijia Zhang,202506,ACD,2
102747,CONIFER INTEGRATIVE FAMILY MEDICINE,NM101,Erica Aijia Zhang,202506,Blue,0
102747,CONIFER INTEGRATIVE FAMILY MEDICINE,NM101,Erica Aijia Zhang,202506,Lav,0
102747,CONIFER INTEGRATIVE FAMILY MEDICINE,NM101,Erica Aijia Zhang,202506,SST,0
102827,Courtney Sinclair MD,GA101,Ashley Hernandez,202506,ACD,2
102827,Courtney Sinclair MD,GA101,Ashley Hernandez,202506,Blue,0
102827,Courtney Sinclair MD,GA101,Ashley Hernandez,202506,Lav,0
102827,Courtney Sinclair MD,GA101,Ashley Hernandez,202506,SST,0
103058,Daniela Dadurian MD,FL101,Ashley Hernandez,202506,ACD,4
103058,Daniela Dadurian MD,FL101,Ashley Hernandez,202506,Blue,1
103058,Daniela Dadurian MD,FL101,Ashley Hernandez,202506,Lav,0
103058,Daniela Dadurian MD,FL101,Ashley Hernandez,202506,SST,0
103918,Edison Medical Nutrition Center,NJ101,Jack (Hongjie) Zou,202506,ACD,2
103918,Edison Medical Nutrition Center,NJ101,Jack (Hongjie) Zou,202506,Blue,0
103918,Edison Medical Nutrition Center,NJ101,Jack (Hongjie) Zou,202506,Lav,0
103918,Edison Medical Nutrition Center,NJ101,Jack (Hongjie) Zou,202506,SST,0
104356,Eva Cwynar MD,CA101,Michael Martinez,202506,ACD,0
104356,Eva Cwynar MD,CA101,Michael Martinez,202506,Blue,1
104356,Eva Cwynar MD,CA101,Michael Martinez,202506,Lav,0
104356,Eva Cwynar MD,CA101,Michael Martinez,202506,SST,0
104413,Fairfield Naturopathic Inc.,CAN501,Jack (Hongjie) Zou,202506,ACD,6
104413,Fairfield Naturopathic Inc.,CAN501,Jack (Hongjie) Zou,202506,Blue,3
104413,Fairfield Naturopathic Inc.,CAN501,Jack (Hongjie) Zou,202506,Lav,0
104413,Fairfield Naturopathic Inc.,CAN501,Jack (Hongjie) Zou,202506,SST,0
104682,Integrated Health Clinic,CAN501,Jack (Hongjie) Zou,202506,ACD,4
104682,Integrated Health Clinic,CAN501,Jack (Hongjie) Zou,202506,Blue,0
104682,Integrated Health Clinic,CAN501,Jack (Hongjie) Zou,202506,Lav,0
104682,Integrated Health Clinic,CAN501,Jack (Hongjie) Zou,202506,SST,0
104711,FRANCIS HOLISTIC MEDICAL CENTER PC,MA101,Jack (Hongjie) Zou,202506,ACD,2
104711,FRANCIS HOLISTIC MEDICAL CENTER PC,MA101,Jack (Hongjie) Zou,202506,Blue,0
104711,FRANCIS HOLISTIC MEDICAL CENTER PC,MA101,Jack (Hongjie) Zou,202506,Lav,0
104711,FRANCIS HOLISTIC MEDICAL CENTER PC,MA101,Jack (Hongjie) Zou,202506,SST,0
104871,GALLOWAY CHIROPRACTIC,TX102,Xavier Sandoval,202506,ACD,4
104871,GALLOWAY CHIROPRACTIC,TX102,Xavier Sandoval,202506,Blue,0
104871,GALLOWAY CHIROPRACTIC,TX102,Xavier Sandoval,202506,Lav,0
104871,GALLOWAY CHIROPRACTIC,TX102,Xavier Sandoval,202506,SST,0
104931,Integrative Medical Institute of Orange County,CA101,Michael Martinez,202506,ACD,6
104931,Integrative Medical Institute of Orange County,CA101,Michael Martinez,202506,Blue,0
104931,Integrative Medical Institute of Orange County,CA101,Michael Martinez,202506,Lav,0
104931,Integrative Medical Institute of Orange County,CA101,Michael Martinez,202506,SST,0
105198,GLOBAL MEDICINE,CO101,Erica Aijia Zhang,202506,ACD,4
105198,GLOBAL MEDICINE,CO101,Erica Aijia Zhang,202506,Blue,0
105198,GLOBAL MEDICINE,CO101,Erica Aijia Zhang,202506,Lav,0
105198,GLOBAL MEDICINE,CO101,Erica Aijia Zhang,202506,SST,0
105234,Gordon Medical Associates,CA101,Michael Martinez,202506,ACD,4
105234,Gordon Medical Associates,CA101,Michael Martinez,202506,Blue,0
105234,Gordon Medical Associates,CA101,Michael Martinez,202506,Lav,0
105234,Gordon Medical Associates,CA101,Michael Martinez,202506,SST,0
105818,HIGH PROFILE,PR501,Jack (Hongjie) Zou,202506,ACD,2
105818,HIGH PROFILE,PR501,Jack (Hongjie) Zou,202506,Blue,0
105818,HIGH PROFILE,PR501,Jack (Hongjie) Zou,202506,Lav,0
105818,HIGH PROFILE,PR501,Jack (Hongjie) Zou,202506,SST,0
105842,HIPPOCRATES HEALTH INSTITUTE,FL101,Ashley Hernandez,202506,ACD,2
105842,HIPPOCRATES HEALTH INSTITUTE,FL101,Ashley Hernandez,202506,Blue,0
105842,HIPPOCRATES HEALTH INSTITUTE,FL101,Ashley Hernandez,202506,Lav,0
105842,HIPPOCRATES HEALTH INSTITUTE,FL101,Ashley Hernandez,202506,SST,0
106018,IMASL,TX101,Suri Huang,202506,ACD,4
106018,IMASL,TX101,Suri Huang,202506,Blue,0
106018,IMASL,TX101,Suri Huang,202506,Lav,0
106018,IMASL,TX101,Suri Huang,202506,SST,0
106051,Perceptive Health,CAN501,Jack (Hongjie) Zou,202506,ACD,0
106051,Perceptive Health,CAN501,Jack (Hongjie) Zou,202506,Blue,0
