LID,Location,Territory,SalesRep,YearMonth,color,Num
100233,Ageless Medical Solutions,FL102,Eliana Dougherty,202503,ACD,0
100233,Ageless Medical Solutions,FL102,Eliana Dougherty,202503,Blue,4
100233,Ageless Medical Solutions,FL102,Eliana Dougherty,202503,Lav,0
100233,Ageless Medical Solutions,FL102,Eliana Dougherty,202503,SST,0
100298,ALASKA ALTERNATIVE MEDICINE CLINIC,AK101,Michael Martinez,202503,ACD,6
100298,ALASKA ALTERNATIVE MEDICINE CLINIC,AK101,Michael Martinez,202503,Blue,0
100298,ALASKA ALTERNATIVE MEDICINE CLINIC,AK101,Michael Martinez,202503,Lav,0
100298,ALASKA ALTERNATIVE MEDICINE CLINIC,AK101,Michael Martinez,202503,SST,0
100720,MyVita Wellness Institute,TX102,Xavier Sandoval,202503,ACD,2
100720,MyVita Wellness Institute,TX102,Xavier Sandoval,202503,Blue,0
100720,MyVita Wellness Institute,TX102,Xavier Sandoval,202503,Lav,0
100720,MyVita Wellness Institute,TX102,Xavier Sandoval,202503,SST,0
100846,Houston Sports Rehabilitation and Nutrition Center,TX101,Suri Huang,202503,ACD,0
100846,Houston Sports Rehabilitation and Nutrition Center,TX101,Suri Huang,202503,Blue,0
100846,Houston Sports Rehabilitation and Nutrition Center,TX101,Suri Huang,202503,Lav,13
100846,Houston Sports Rehabilitation and Nutrition Center,TX101,Suri Huang,202503,SST,16
101246,BETWEEN THE BRIDGES HEALING CNTR LLC,MN101,Suri Huang,202503,ACD,8
101246,BETWEEN THE BRIDGES HEALING CNTR LLC,MN101,Suri Huang,202503,Blue,0
101246,BETWEEN THE BRIDGES HEALING CNTR LLC,MN101,Suri Huang,202503,Lav,0
101246,BETWEEN THE BRIDGES HEALING CNTR LLC,MN101,Suri Huang,202503,SST,6
101391,"Bonnie S. Friehling, MD",MO102,Xavier Sandoval,202503,ACD,0
101391,"Bonnie S. Friehling, MD",MO102,Xavier Sandoval,202503,Blue,1
101391,"Bonnie S. Friehling, MD",MO102,Xavier Sandoval,202503,Lav,0
101391,"Bonnie S. Friehling, MD",MO102,Xavier Sandoval,202503,SST,0
101587,"Robert Bruley MD, DC",MN101,Suri Huang,202503,ACD,10
101587,"Robert Bruley MD, DC",MN101,Suri Huang,202503,Blue,0
101587,"Robert Bruley MD, DC",MN101,Suri Huang,202503,Lav,0
101587,"Robert Bruley MD, DC",MN101,Suri Huang,202503,SST,0
101691,Nutriwhite LLC,FL101,Ashley Hernandez,202503,ACD,4
101691,Nutriwhite LLC,FL101,Ashley Hernandez,202503,Blue,0
101691,Nutriwhite LLC,FL101,Ashley Hernandez,202503,Lav,0
101691,Nutriwhite LLC,FL101,Ashley Hernandez,202503,SST,0
101894,CAROLINA HEALTHSPAN INSTITUTE,NC101,Ashley Hernandez,202503,ACD,4
101894,CAROLINA HEALTHSPAN INSTITUTE,NC101,Ashley Hernandez,202503,Blue,0
101894,CAROLINA HEALTHSPAN INSTITUTE,NC101,Ashley Hernandez,202503,Lav,0
101894,CAROLINA HEALTHSPAN INSTITUTE,NC101,Ashley Hernandez,202503,SST,0
102055,The Center for Natural and Integrative Medicine  +,FL101,Ashley Hernandez,202503,ACD,2
102055,The Center for Natural and Integrative Medicine  +,FL101,Ashley Hernandez,202503,Blue,0
102055,The Center for Natural and Integrative Medicine  +,FL101,Ashley Hernandez,202503,Lav,0
102055,The Center for Natural and Integrative Medicine  +,FL101,Ashley Hernandez,202503,SST,0
102059,Revitalize Functional Medicine,AZ101,Erica Aijia Zhang,202503,ACD,4
102059,Revitalize Functional Medicine,AZ101,Erica Aijia Zhang,202503,Blue,0
102059,Revitalize Functional Medicine,AZ101,Erica Aijia Zhang,202503,Lav,0
102059,Revitalize Functional Medicine,AZ101,Erica Aijia Zhang,202503,SST,0
102747,CONIFER INTEGRATIVE FAMILY MEDICINE,NM101,Erica Aijia Zhang,202503,ACD,4
102747,CONIFER INTEGRATIVE FAMILY MEDICINE,NM101,Erica Aijia Zhang,202503,Blue,0
102747,CONIFER INTEGRATIVE FAMILY MEDICINE,NM101,Erica Aijia Zhang,202503,Lav,0
102747,CONIFER INTEGRATIVE FAMILY MEDICINE,NM101,Erica Aijia Zhang,202503,SST,0
102827,Courtney Sinclair MD,GA101,Ashley Hernandez,202503,ACD,6
102827,Courtney Sinclair MD,GA101,Ashley Hernandez,202503,Blue,0
102827,Courtney Sinclair MD,GA101,Ashley Hernandez,202503,Lav,0
102827,Courtney Sinclair MD,GA101,Ashley Hernandez,202503,SST,0
103918,Edison Medical Nutrition Center,NJ101,Jack (Hongjie) Zou,202503,ACD,2
103918,Edison Medical Nutrition Center,NJ101,Jack (Hongjie) Zou,202503,Blue,0
103918,Edison Medical Nutrition Center,NJ101,Jack (Hongjie) Zou,202503,Lav,0
103918,Edison Medical Nutrition Center,NJ101,Jack (Hongjie) Zou,202503,SST,0
104017,Elite Healthcare Partners,FL101,Ashley Hernandez,202503,ACD,8
104017,Elite Healthcare Partners,FL101,Ashley Hernandez,202503,Blue,0
104017,Elite Healthcare Partners,FL101,Ashley Hernandez,202503,Lav,0
104017,Elite Healthcare Partners,FL101,Ashley Hernandez,202503,SST,0
104356,Eva Cwynar MD,CA101,Michael Martinez,202503,ACD,2
104356,Eva Cwynar MD,CA101,Michael Martinez,202503,Blue,0
104356,Eva Cwynar MD,CA101,Michael Martinez,202503,Lav,0
104356,Eva Cwynar MD,CA101,Michael Martinez,202503,SST,0
104682,Integrated Health Clinic,CAN501,Jack (Hongjie) Zou,202503,ACD,2
104682,Integrated Health Clinic,CAN501,Jack (Hongjie) Zou,202503,Blue,0
104682,Integrated Health Clinic,CAN501,Jack (Hongjie) Zou,202503,Lav,0
104682,Integrated Health Clinic,CAN501,Jack (Hongjie) Zou,202503,SST,0
104711,FRANCIS HOLISTIC MEDICAL CENTER PC,MA101,Jack (Hongjie) Zou,202503,ACD,4
104711,FRANCIS HOLISTIC MEDICAL CENTER PC,MA101,Jack (Hongjie) Zou,202503,Blue,0
104711,FRANCIS HOLISTIC MEDICAL CENTER PC,MA101,Jack (Hongjie) Zou,202503,Lav,0
104711,FRANCIS HOLISTIC MEDICAL CENTER PC,MA101,Jack (Hongjie) Zou,202503,SST,0
104871,GALLOWAY CHIROPRACTIC,TX102,Xavier Sandoval,202503,ACD,2
104871,GALLOWAY CHIROPRACTIC,TX102,Xavier Sandoval,202503,Blue,0
104871,GALLOWAY CHIROPRACTIC,TX102,Xavier Sandoval,202503,Lav,0
104871,GALLOWAY CHIROPRACTIC,TX102,Xavier Sandoval,202503,SST,0
104931,Integrative Medical Institute of Orange County,CA101,Michael Martinez,202503,ACD,20
104931,Integrative Medical Institute of Orange County,CA101,Michael Martinez,202503,Blue,0
104931,Integrative Medical Institute of Orange County,CA101,Michael Martinez,202503,Lav,0
104931,Integrative Medical Institute of Orange County,CA101,Michael Martinez,202503,SST,0
105075,Advance Aesthetics Center,CA101,Michael Martinez,202503,ACD,6
105075,Advance Aesthetics Center,CA101,Michael Martinez,202503,Blue,0
105075,Advance Aesthetics Center,CA101,Michael Martinez,202503,Lav,0
105075,Advance Aesthetics Center,CA101,Michael Martinez,202503,SST,0
105198,GLOBAL MEDICINE,CO101,Erica Aijia Zhang,202503,ACD,2
105198,GLOBAL MEDICINE,CO101,Erica Aijia Zhang,202503,Blue,0
105198,GLOBAL MEDICINE,CO101,Erica Aijia Zhang,202503,Lav,0
105198,GLOBAL MEDICINE,CO101,Erica Aijia Zhang,202503,SST,0
105234,Gordon Medical Associates,CA101,Michael Martinez,202503,ACD,2
105234,Gordon Medical Associates,CA101,Michael Martinez,202503,Blue,0
105234,Gordon Medical Associates,CA101,Michael Martinez,202503,Lav,0
105234,Gordon Medical Associates,CA101,Michael Martinez,202503,SST,0
105818,HIGH PROFILE,PR501,Jack (Hongjie) Zou,202503,ACD,2
105818,HIGH PROFILE,PR501,Jack (Hongjie) Zou,202503,Blue,1
105818,HIGH PROFILE,PR501,Jack (Hongjie) Zou,202503,Lav,0
105818,HIGH PROFILE,PR501,Jack (Hongjie) Zou,202503,SST,0
105842,HIPPOCRATES HEALTH INSTITUTE,FL101,Ashley Hernandez,202503,ACD,2
105842,HIPPOCRATES HEALTH INSTITUTE,FL101,Ashley Hernandez,202503,Blue,0
105842,HIPPOCRATES HEALTH INSTITUTE,FL101,Ashley Hernandez,202503,Lav,0
105842,HIPPOCRATES HEALTH INSTITUTE,FL101,Ashley Hernandez,202503,SST,0
105922,Hotze Health  Wellness,TX101,Suri Huang,202503,ACD,6
105922,Hotze Health  Wellness,TX101,Suri Huang,202503,Blue,0
105922,Hotze Health  Wellness,TX101,Suri Huang,202503,Lav,0
105922,Hotze Health  Wellness,TX101,Suri Huang,202503,SST,0
106018,IMASL,TX101,Suri Huang,202503,ACD,4
106018,IMASL,TX101,Suri Huang,202503,Blue,0
106018,IMASL,TX101,Suri Huang,202503,Lav,0
106018,IMASL,TX101,Suri Huang,202503,SST,0
106072,Instutitute of Antiaging Med and Skin Spa,TX101,Suri Huang,202503,ACD,0
106072,Instutitute of Antiaging Med and Skin Spa,TX101,Suri Huang,202503,Blue,0
106072,Instutitute of Antiaging Med and Skin Spa,TX101,Suri Huang,202503,Lav,0
106072,Instutitute of Antiaging Med and Skin Spa,TX101,Suri Huang,202503,SST,12
106737,OTTAWA ENVIRONMENTAL HEALTH CLINIC,CAN501,Jack (Hongjie) Zou,202503,ACD,4
106737,OTTAWA ENVIRONMENTAL HEALTH CLINIC,CAN501,Jack (Hongjie) Zou,202503,Blue,0
106737,OTTAWA ENVIRONMENTAL HEALTH CLINIC,CAN501,Jack (Hongjie) Zou,202503,Lav,0
106737,OTTAWA ENVIRONMENTAL HEALTH CLINIC,CAN501,Jack (Hongjie) Zou,202503,SST,0
106771,Jerrold Kartzinel  MD,FL102,Eliana Dougherty,202503,ACD,2
106771,Jerrold Kartzinel  MD,FL102,Eliana Dougherty,202503,Blue,0
106771,Jerrold Kartzinel  MD,FL102,Eliana Dougherty,202503,Lav,0
106771,Jerrold Kartzinel  MD,FL102,Eliana Dougherty,202503,SST,0
107154,Jonathan Singer DO,WY101,Erica Aijia Zhang,202503,ACD,32
107154,Jonathan Singer DO,WY101,Erica Aijia Zhang,202503,Blue,0
107154,Jonathan Singer DO,WY101,Erica Aijia Zhang,202503,Lav,0
107154,Jonathan Singer DO,WY101,Erica Aijia Zhang,202503,SST,0
107441,Katherine Pulse DC,TX102,Xavier Sandoval,202503,ACD,2
107441,Katherine Pulse DC,TX102,Xavier Sandoval,202503,Blue,0
107441,Katherine Pulse DC,TX102,Xavier Sandoval,202503,Lav,0
107441,Katherine Pulse DC,TX102,Xavier Sandoval,202503,SST,2
108089,LIFE CELEBRATING HEALTH,TX101,Suri Huang,202503,ACD,30
108089,LIFE CELEBRATING HEALTH,TX101,Suri Huang,202503,Blue,0
108089,LIFE CELEBRATING HEALTH,TX101,Suri Huang,202503,Lav,0
108089,LIFE CELEBRATING HEALTH,TX101,Suri Huang,202503,SST,2
108111,Lifescape Premier / Lifescape Medical,AZ101,Erica Aijia Zhang,202503,ACD,46
108111,Lifescape Premier / Lifescape Medical,AZ101,Erica Aijia Zhang,202503,Blue,0
108111,Lifescape Premier / Lifescape Medical,AZ101,Erica Aijia Zhang,202503,Lav,0
108111,Lifescape Premier / Lifescape Medical,AZ101,Erica Aijia Zhang,202503,SST,0
108632,Advanced Nutritional Medicine Center,TX102,Xavier Sandoval,202503,ACD,4
108632,Advanced Nutritional Medicine Center,TX102,Xavier Sandoval,202503,Blue,0
108632,Advanced Nutritional Medicine Center,TX102,Xavier Sandoval,202503,Lav,0
108632,Advanced Nutritional Medicine Center,TX102,Xavier Sandoval,202503,SST,0
108672,Mark Sivieri MD,MD101,Jack (Hongjie) Zou,202503,ACD,6
108672,Mark Sivieri MD,MD101,Jack (Hongjie) Zou,202503,Blue,0
108672,Mark Sivieri MD,MD101,Jack (Hongjie) Zou,202503,Lav,0
108672,Mark Sivieri MD,MD101,Jack (Hongjie) Zou,202503,SST,0
109069,Meridian Valley Clinical Laboratories,WA101,Michael Martinez,202503,ACD,4
109069,Meridian Valley Clinical Laboratories,WA101,Michael Martinez,202503,Blue,0
109069,Meridian Valley Clinical Laboratories,WA101,Michael Martinez,202503,Lav,0
109069,Meridian Valley Clinical Laboratories,WA101,Michael Martinez,202503,SST,0
109674,Narberth Family Medicine  Acupuncture Center,PA101,Jack (Hongjie) Zou,202503,ACD,2
109674,Narberth Family Medicine  Acupuncture Center,PA101,Jack (Hongjie) Zou,202503,Blue,0
109674,Narberth Family Medicine  Acupuncture Center,PA101,Jack (Hongjie) Zou,202503,Lav,0
109674,Narberth Family Medicine  Acupuncture Center,PA101,Jack (Hongjie) Zou,202503,SST,0
109728,Natural Medical Care,KS101,Suri Huang,202503,ACD,8
109728,Natural Medical Care,KS101,Suri Huang,202503,Blue,0
109728,Natural Medical Care,KS101,Suri Huang,202503,Lav,0
109728,Natural Medical Care,KS101,Suri Huang,202503,SST,0
109771,Center for Wellness,NC101,Ashley Hernandez,202503,ACD,2
109771,Center for Wellness,NC101,Ashley Hernandez,202503,Blue,0
109771,Center for Wellness,NC101,Ashley Hernandez,202503,Lav,0
109771,Center for Wellness,NC101,Ashley Hernandez,202503,SST,4
109906,Noreen Sullivan DC,NM101,Erica Aijia Zhang,202503,ACD,4
109906,Noreen Sullivan DC,NM101,Erica Aijia Zhang,202503,Blue,2
109906,Noreen Sullivan DC,NM101,Erica Aijia Zhang,202503,Lav,0
109906,Noreen Sullivan DC,NM101,Erica Aijia Zhang,202503,SST,0
110184,Orange County Immune Institute,CA101,Michael Martinez,202503,ACD,6
110184,Orange County Immune Institute,CA101,Michael Martinez,202503,Blue,0
110184,Orange County Immune Institute,CA101,Michael Martinez,202503,Lav,0
110184,Orange County Immune Institute,CA101,Michael Martinez,202503,SST,0
110520,Bobbie Stowe DC,TX102,Xavier Sandoval,202503,ACD,2
110520,Bobbie Stowe DC,TX102,Xavier Sandoval,202503,Blue,0
110520,Bobbie Stowe DC,TX102,Xavier Sandoval,202503,Lav,0
110520,Bobbie Stowe DC,TX102,Xavier Sandoval,202503,SST,0
110524,Paulina Medical Clinic,IL101,Suri Huang,202503,ACD,4
110524,Paulina Medical Clinic,IL101,Suri Huang,202503,Blue,0
110524,Paulina Medical Clinic,IL101,Suri Huang,202503,Lav,0
110524,Paulina Medical Clinic,IL101,Suri Huang,202503,SST,0
110624,Peter Jakacki DC MD,IN101,Jack (Hongjie) Zou,202503,ACD,4
110624,Peter Jakacki DC MD,IN101,Jack (Hongjie) Zou,202503,Blue,0
110624,Peter Jakacki DC MD,IN101,Jack (Hongjie) Zou,202503,Lav,0
110624,Peter Jakacki DC MD,IN101,Jack (Hongjie) Zou,202503,SST,0
110868,Preventive Medicine Center of Gainsville,FL101,Ashley Hernandez,202503,ACD,0
110868,Preventive Medicine Center of Gainsville,FL101,Ashley Hernandez,202503,Blue,0
110868,Preventive Medicine Center of Gainsville,FL101,Ashley Hernandez,202503,Lav,0
110868,Preventive Medicine Center of Gainsville,FL101,Ashley Hernandez,202503,SST,2
110894,PREMIER MEDICAL CARE,FL102,Eliana Dougherty,202503,ACD,2
110894,PREMIER MEDICAL CARE,FL102,Eliana Dougherty,202503,Blue,0
110894,PREMIER MEDICAL CARE,FL102,Eliana Dougherty,202503,Lav,0
110894,PREMIER MEDICAL CARE,FL102,Eliana Dougherty,202503,SST,0
111707,Robin E Leder MD,NJ101,Jack (Hongjie) Zou,202503,ACD,3
111707,Robin E Leder MD,NJ101,Jack (Hongjie) Zou,202503,Blue,0
111707,Robin E Leder MD,NJ101,Jack (Hongjie) Zou,202503,Lav,0
111707,Robin E Leder MD,NJ101,Jack (Hongjie) Zou,202503,SST,0
111927,360 Medicine,NM101,Erica Aijia Zhang,202503,ACD,2
111927,360 Medicine,NM101,Erica Aijia Zhang,202503,Blue,0
111927,360 Medicine,NM101,Erica Aijia Zhang,202503,Lav,0
111927,360 Medicine,NM101,Erica Aijia Zhang,202503,SST,0
111984,Southwest College Naturopathic Medicine,AZ101,Erica Aijia Zhang,202503,ACD,2
111984,Southwest College Naturopathic Medicine,AZ101,Erica Aijia Zhang,202503,Blue,0
111984,Southwest College Naturopathic Medicine,AZ101,Erica Aijia Zhang,202503,Lav,0
111984,Southwest College Naturopathic Medicine,AZ101,Erica Aijia Zhang,202503,SST,0
112198,SCOTTSDALE PRIVATE PHYSICIANS,AZ101,Erica Aijia Zhang,202503,ACD,4
112198,SCOTTSDALE PRIVATE PHYSICIANS,AZ101,Erica Aijia Zhang,202503,Blue,0
112198,SCOTTSDALE PRIVATE PHYSICIANS,AZ101,Erica Aijia Zhang,202503,Lav,0
112198,SCOTTSDALE PRIVATE PHYSICIANS,AZ101,Erica Aijia Zhang,202503,SST,0
112477,SOUTH FLORIDA GYNECOLOGIC ONCOLOGISTINC,FL101,Ashley Hernandez,202503,ACD,2
