LID,Location,Territory,SalesRep,YearMonth,color,Num
100846,Houston Sports Rehabilitation and Nutrition Center,TX101,Suri Huang,202505,ACD,0
100846,Houston Sports Rehabilitation and Nutrition Center,TX101,Suri Huang,202505,Blue,0
100846,Houston Sports Rehabilitation and Nutrition Center,TX101,Suri Huang,202505,Lav,9
100846,Houston Sports Rehabilitation and Nutrition Center,TX101,Suri Huang,202505,SST,14
101246,BETWEEN THE BRIDGES HEALING CNTR LLC,MN101,Suri Huang,202505,ACD,12
101246,BETWEEN THE BRIDGES HEALING CNTR LLC,MN101,Suri Huang,202505,Blue,0
101246,BETWEEN THE BRIDGES HEALING CNTR LLC,MN101,Suri Huang,202505,Lav,0
101246,BETWEEN THE BRIDGES HEALING CNTR LLC,MN101,Suri Huang,202505,SST,6
101587,"Robert Bruley MD, DC",MN101,Suri Huang,202505,ACD,6
101587,"Robert Bruley MD, DC",MN101,Suri Huang,202505,Blue,0
101587,"Robert Bruley MD, DC",MN101,Suri Huang,202505,Lav,0
101587,"Robert Bruley MD, DC",MN101,Suri Huang,202505,SST,0
101691,Nutriwhite LLC,FL101,Ashley Hernandez,202505,ACD,2
101691,Nutriwhite LLC,FL101,Ashley Hernandez,202505,Blue,0
101691,Nutriwhite LLC,FL101,Ashley Hernandez,202505,Lav,0
101691,Nutriwhite LLC,FL101,Ashley Hernandez,202505,SST,0
101981,Cenegenics Las Vegas,NV101,Michael Martinez,202505,ACD,2
101981,Cenegenics Las Vegas,NV101,Michael Martinez,202505,Blue,0
101981,Cenegenics Las Vegas,NV101,Michael Martinez,202505,Lav,0
101981,Cenegenics Las Vegas,NV101,Michael Martinez,202505,SST,0
102088,Ann Shippy MD,TX101,Suri Huang,202505,ACD,0
102088,Ann Shippy MD,TX101,Suri Huang,202505,Blue,1
102088,Ann Shippy MD,TX101,Suri Huang,202505,Lav,0
102088,Ann Shippy MD,TX101,Suri Huang,202505,SST,0
102094,Rivers Family Medicine,FL101,Ashley Hernandez,202505,ACD,4
102094,Rivers Family Medicine,FL101,Ashley Hernandez,202505,Blue,0
102094,Rivers Family Medicine,FL101,Ashley Hernandez,202505,Lav,0
102094,Rivers Family Medicine,FL101,Ashley Hernandez,202505,SST,0
102141,Chandra Rathod MD,IL101,Suri Huang,202505,ACD,4
102141,Chandra Rathod MD,IL101,Suri Huang,202505,Blue,0
102141,Chandra Rathod MD,IL101,Suri Huang,202505,Lav,0
102141,Chandra Rathod MD,IL101,Suri Huang,202505,SST,0
103453,DESERT SIERRA MEDICAL,AZ101,Erica Aijia Zhang,202505,ACD,4
103453,DESERT SIERRA MEDICAL,AZ101,Erica Aijia Zhang,202505,Blue,0
103453,DESERT SIERRA MEDICAL,AZ101,Erica Aijia Zhang,202505,Lav,0
